MES,CVLI,M,F,CRISE_2017,QUEDA_2019,ANOMALIA_2020,REDUCAO_2026
2014-01-01,398,367,31,0,0,0,0
2014-02-01,386,372,14,0,0,0,0
2014-03-01,469,434,35,0,0,0,0
2014-04-01,345,326,19,0,0,0,0
2014-05-01,359,335,24,0,0,0,0
2014-06-01,371,347,24,0,0,0,0
2014-07-01,326,305,21,0,0,0,0
2014-08-01,308,293,15,0,0,0,0
2014-09-01,341,329,12,0,0,0,0
2014-10-01,374,345,29,0,0,0,0
2014-11-01,381,360,21,0,0,0,0
2014-12-01,380,363,17,0,0,0,0
2015-01-01,431,413,18,0,0,0,0
2015-02-01,331,307,24,0,0,0,0
2015-03-01,323,301,22,0,0,0,0
2015-04-01,327,300,27,0,0,0,0
2015-05-01,323,296,27,0,0,0,0
2015-06-01,282,264,18,0,0,0,0
2015-07-01,261,253,8,0,0,0,0
2015-08-01,355,341,14,0,0,0,0
2015-09-01,332,314,18,0,0,0,0
2015-10-01,341,322,19,0,0,0,0
2015-11-01,354,342,12,0,0,0,0
2015-12-01,359,336,23,0,0,0,0
2016-01-01,323,301,22,0,0,0,0
2016-02-01,295,275,20,0,0,0,0
2016-03-01,316,296,20,0,0,0,0
2016-04-01,274,254,20,0,0,0,0
2016-05-01,284,270,14,0,0,0,0
2016-06-01,248,232,16,0,0,0,0
2016-07-01,255,247,8,0,0,0,0
2016-08-01,291,279,12,0,0,0,0
2016-09-01,222,208,14,0,0,0,0
2016-10-01,276,257,19,0,0,0,0
2016-11-01,298,277,21,0,0,0,0
2016-12-01,320,296,24,0,0,0,0
2017-01-01,349,339,10,1,0,0,0
2017-02-01,269,254,15,1,0,0,0
2017-03-01,358,340,18,1,0,0,0
2017-04-01,378,348,30,1,0,0,0
2017-05-01,471,446,25,1,0,0,0
2017-06-01,473,448,25,1,0,0,0
2017-07-01,474,440,34,1,0,0,0
2017-08-01,460,425,35,1,0,0,0
2017-09-01,460,419,41,1,0,0,0
2017-10-01,516,477,39,1,0,0,0
2017-11-01,470,425,45,1,0,0,0
2017-12-01,454,408,46,1,0,0,0
2018-01-01,482,430,52,0,0,0,0
2018-02-01,361,317,44,0,0,0,0
2018-03-01,414,373,41,0,0,0,0
2018-04-01,367,335,32,0,0,0,0
2018-05-01,372,340,32,0,0,0,0
2018-06-01,384,351,33,0,0,0,0
2018-07-01,378,337,41,0,0,0,0
2018-08-01,352,317,35,0,0,0,0
2018-09-01,391,350,41,0,0,0,0
2018-10-01,363,330,33,0,0,0,0
2018-11-01,326,287,39,0,0,0,0
2018-12-01,328,288,40,0,0,0,0
2019-01-01,192,177,15,0,1,0,0
2019-02-01,164,148,16,0,1,0,0
2019-03-01,189,176,13,0,1,0,0
2019-04-01,213,188,25,0,1,0,0
2019-05-01,179,162,17,0,1,0,0
2019-06-01,169,152,17,0,1,0,0
2019-07-01,196,169,27,0,1,0,0
2019-08-01,186,173,13,0,1,0,0
2019-09-01,183,162,21,0,1,0,0
2019-10-01,176,157,19,0,1,0,0
2019-11-01,205,181,24,0,1,0,0
2019-12-01,205,181,24,0,1,0,0
2020-01-01,265,235,30,0,0,1,0
2020-02-01,312,429,30,0,0,1,0
2020-03-01,359,329,30,0,0,1,0
2020-04-01,362,408,31,0,0,1,0
2020-05-01,365,325,40,0,0,1,0
2020-06-01,358,326,32,0,0,1,0
2020-07-01,297,274,23,0,0,0,0
2020-08-01,260,245,15,0,0,0,0
2020-09-01,253,227,26,0,0,0,0
2020-10-01,322,291,31,0,0,0,0
2020-11-01,343,319,24,0,0,0,0
2020-12-01,319,295,24,0,0,0,0
2021-01-01,306,277,29,0,0,0,0
2021-02-01,250,231,19,0,0,0,0
2021-03-01,249,225,24,0,0,0,0
2021-04-01,275,248,27,0,0,0,0
2021-05-01,244,217,27,0,0,0,0
2021-06-01,275,251,24,0,0,0,0
2021-07-01,263,230,33,0,0,0,0
2021-08-01,281,255,26,0,0,0,0
2021-09-01,301,255,46,0,0,0,0
2021-10-01,298,269,29,0,0,0,0
2021-11-01,285,253,32,0,0,0,0
2021-12-01,272,244,28,0,0,0,0
2022-01-01,251,230,21,0,0,0,0
2022-02-01,276,253,23,0,0,0,0
2022-03-01,227,208,19,0,0,0,0
2022-04-01,244,217,27,0,0,0,0
2022-05-01,269,244,25,0,0,0,0
2022-06-01,214,196,18,0,0,0,0
2022-07-01,257,231,26,0,0,0,0
2022-08-01,250,234,16,0,0,0,0
2022-09-01,250,227,23,0,0,0,0
2022-10-01,249,225,24,0,0,0,0
2022-11-01,235,212,23,0,0,0,0
2022-12-01,248,221,27,0,0,0,0
2023-01-01,252,227,25,0,0,0,0
2023-02-01,251,236,15,0,0,0,0
2023-03-01,227,202,25,0,0,0,0
2023-04-01,217,198,19,0,0,0,0
2023-05-01,229,217,12,0,0,0,0
2023-06-01,211,193,18,0,0,0,0
2023-07-01,242,211,31,0,0,0,0
2023-08-01,255,235,20,0,0,0,0
2023-09-01,240,226,14,0,0,0,0
2023-10-01,293,261,32,0,0,0,0
2023-11-01,287,257,30,0,0,0,0
2023-12-01,266,243,23,0,0,0,0
2024-01-01,284,254,30,0,0,0,0
2024-02-01,257,241,16,0,0,0,0
2024-03-01,278,251,27,0,0,0,0
2024-04-01,320,280,40,0,0,0,0
2024-05-01,316,283,33,0,0,0,0
2024-06-01,259,234,25,0,0,0,0
2024-07-01,246,230,16,0,0,0,0
2024-08-01,254,232,22,0,0,0,0
2024-09-01,231,209,22,0,0,0,0
2024-10-01,268,243,25,0,0,0,0
2024-11-01,270,240,30,0,0,0,0
2024-12-01,289,263,26,0,0,0,0
2025-01-01,269,243,26,0,0,0,0
2025-02-01,206,185,21,0,0,0,0
2025-03-01,254,234,20,0,0,0,0
2025-04-01,202,183,19,0,0,0,0
2025-05-01,267,242,25,0,0,0,0
2025-06-01,231,202,29,0,0,0,0
2025-07-01,260,229,31,0,0,0,0
2025-08-01,281,251,30,0,0,0,0
2025-09-01,269,248,21,0,0,0,0
2025-10-01,284,250,34,0,0,0,0
2025-11-01,263,244,19,0,0,0,0
2025-12-01,235,206,29,0,0,0,0
2026-01-01,191,171,19,0,0,0,1
2026-02-01,141,125,16,0,0,0,1
2026-03-01,140,135,5,0,0,0,1
